line_of_evidence	stage	current_script_or_input	primary_output	note
Nearest-gene annotation	annotation	ANNOVAR/awigen_metal_nearest_genes/create_awigen_sentinels_nearest_gene2.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/annovar_awigen_sentinles_nearest_gene2.txt	Uses ANNOVAR nearest-gene output for 102 AWI-Gen sentinels.
Credible-set variant annotation	annotation	VEP/process_awigen_vep_using_shrine_template.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/vep_awigen_pp50_selected_vep_gene_annotations.tsv	Uses PP >50% credible-set variants and selected VEP gene annotations.
eQTLGen eQTL	resource mapping	eQTLGen/merged_credible_set_with_eqtlgen_updated.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/eqtlgen_awigen_ldPruned_sentinel_gene_lowest_pvalue.tsv	Maps AWI-Gen credible-set variants to eQTLGen blood eQTLs.
GTEx eQTL	resource mapping	GTEx_tissues_eQTL/process_awigen_gtex_v10_all_tissues_to_sentinel_gene.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/gtex_awigen_v10_gtex_tissues_sentinel_gene_lowest_pval.txt	Maps AWI-Gen credible-set variants to selected GTEx v10 tissue eQTLs.
SABR eQTL	resource mapping	SABR_eQTL/map_awigen_credible_snps_to_sabr_s7_significant_egenes_allpairs.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/sabr_awigen_s7_sig_egenes_allpairs_sentinel_gene_lowest_pval.tsv	Maps AWI-Gen credible-set variants to SABR significant eGenes and all-pairs eQTLs.
African American cis-eQTL	resource mapping	AMR_eQTL_Amadou/merge_awigen_credible_set_with_AMR_cis_eQTLs.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/amr_awigen_cis_eqtl_sentinel_gene_lowest_FDR.txt	Maps AWI-Gen credible-set variants to African American blood cis-eQTLs.
UK Biobank Olink pQTL	resource mapping	pQTL_olink_UKB_AFR_blood/process_pqtl_olink_ukb_afr_blood.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/pqtl_awigen_olink_ukb_afr_sentinel_protein_lowest_p.tsv	Filters Olink pQTLs using Bonferroni threshold and harmonises effect estimates to AWI-Gen ALLELE1.
MASC pQTL	resource mapping	MASC_pQTL/05_extract_awigen_credible_snps_from_masc_pqtl_b37_awk.sh; MASC_pQTL/09_process_masc_pqtl_significant_pairs_b37.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/pqtl_awigen_masc_sentinel_protein_lowest_p_b37.tsv	Maps AWI-Gen credible-set variants to MASC plasma pQTLs.
Rare-variant association	WES lookup	rare_variant_associations/lookup_awigen_sentinels_in_ukb_wes_single_variant_rare_variants.R; rare_variant_associations/gene_base_collapsing/lookup_awigen_sentinels_in_ukb_wes_gene_based_collapsing.R; rare_variant_associations/combine_single_variant_and_gene_based_rare_variant_evidence.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/rare_variant_awigen_ukb_wes_single_variant_and_gene_based.tsv	Combines rare single-variant and gene-based collapsing evidence near AWI-Gen sentinels.
Mendelian respiratory disease	annotation	rare_disease_genes/rare_disease_genes_awigen_credible_sets.R; rare_disease_genes/apply_shrine_hpo_frequency_filter_to_rare_disease_outputs.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/rare_disease_awigen_orphanet_respiratory_sentinel_gene_hits_500kb.csv	Selects Orphanet disease-causing germline gene-disease associations with respiratory disease or HPO terms.
Mouse knockout respiratory phenotype	annotation	mouse_knockout/mouse_knockout_awigen_sentinels.R	functional_annotations_across_all_lines_of_evidences/lines_of_evidences/mouse_knockout_awigen_respiratory_sentinel_gene_hits_500kb.csv	Selects human orthologs of IMPC mouse-knockout genes annotated with respiratory system phenotype.
All-source V2G integration	final integration	functional_annotations_across_all_lines_of_evidences/10_update_all_sources_with_rare_variant_associations.R	functional_annotations_across_all_lines_of_evidences/awigen_v2g_all_source_evidence_master_table.tsv	Authoritative current final all-source V2G table.
Shrine-like sentinel evidence table	final reporting	functional_annotations_across_all_lines_of_evidences/11_create_awigen_shrine_like_table6_sentinel_v2g_evidence.R	functional_annotations_across_all_lines_of_evidences/awigen_shrine_like_table6_sentinel_v2g_evidence.tsv	Authoritative current sentinel-level reporting table.
